state	Year	cost_per_pack	sales_per_capita	tax_dollar	tax_percent	tax_revenue	tax_state	index	price_cpi
Alabama	1970	0.427	89.8	0.2	46.8	36739131.0	0.12		
Alabama	1971	0.423	95.4	0.2	47.3	39490694.0	0.12		
Alabama	1972	0.421	101.1	0.2	47.5	42198422.0	0.12		
Alabama	1973	0.431	102.9	0.2	46.4	43328876.0	0.12		
Alabama	1974	0.466	108.2	0.2	42.9	45943402.0	0.12		
Alabama	1975	0.504	111.7	0.2	39.7	47956285.0	0.12		
Alabama	1976	0.501	116.2	0.2	39.9	50409197.0	0.12		
Alabama	1977	0.551	117.1	0.2	36.3	51516608.0	0.12		
Alabama	1978	0.568	123.0	0.2	35.2	54460929.0	0.12		
Alabama	1979	0.606	121.4	0.2	33.3	54496057.0	0.12		
Alabama	1980	0.688	123.2	0.24	34.9	55701205.0	0.12		
Alabama	1981	0.731	119.6	0.24	32.8	72852874.0	0.16		
Alabama	1982	0.844	119.1	0.24	38.4	74641962.0	0.16		
Alabama	1983	0.908	116.3	0.32	35.2	73371489.0	0.16		
Alabama	1984	0.99	113.0	0.325	32.8	72144256.0	0.16		
Alabama	1985	1.03	114.5	0.325	31.6	76693928.0	0.165		
Alabama	1986	1.1	116.3	0.325	29.6	77175083.0	0.165		
Alabama	1987	1.144	114.0	0.325	28.5	77097672.0	0.165		
Alabama	1988	1.223	112.1	0.325	26.6	76529290.0	0.165		
Alabama	1989	1.391	105.6	0.325	23.4	74959156.0	0.165		
Alabama	1990	1.444	108.6	0.325	22.5	74656216.0	0.165		
Alabama	1991	1.722	107.9	0.365	21.2	73585654.0	0.165		
Alabama	1992	1.762	109.1	0.365	20.7	73149118.0	0.165		
Alabama	1993	1.546	108.5	0.405	26.2	72619924.0	0.165		
Alabama	1994	1.551	107.1	0.405	26.1	72324900.0	0.165		
Alabama	1995	1.583	102.6	0.405	25.6	70450119.0	0.165		
Alabama	1996	1.674	101.4	0.405	24.2	70950600.0	0.165		
Alabama	1997	1.805	104.9	0.405	22.4	73953302.0	0.165		
Alabama	1998	1.956	106.2	0.405	20.7	74878439.0	0.165		
Alabama	1999	2.707	100.7	0.405	15.0	71844367.0	0.165		
Alabama	2000	2.884	96.2	0.505	17.5	70664938.0	0.165		
Alabama	2001	3.23	90.5	0.505	15.6	66373279.0	0.165		
Alabama	2002	3.282	84.8	0.555	16.9	62450667.0	0.165		
Alabama	2003	3.234	82.2	0.555	17.2	61161426.0	0.165		
Alabama	2004	3.569	87.9	0.815	22.8	71463596.0	0.425		
Alabama	2005	3.56	82.4	0.815	22.9	158457030.0	0.425		
Alabama	2006	3.535	83.3	0.815	23.1	161434908.0	0.425		
Alabama	2007	3.759	80.2	0.815	21.7	156820995.0	0.425		
Alabama	2008	3.752	78.0	0.815	21.7	153461159.0	0.425		
Alabama	2009	4.548	75.6	1.435	31.6	149746028.0	0.425		
Alabama	2010	4.726	71.5	1.435	30.4	143144386.0	0.425		
Alabama	2011	4.845	68.4	1.435	29.6	138999738.0	0.425		
Alabama	2012	4.841	67.2	1.435	29.6	137207735.0	0.425		
Alabama	2013	4.942	64.6	1.435	29.0	132215587.0	0.425		
Alabama	2014	5.102	61.7	1.435	28.1	126853195.0	0.425		
Alabama	2015	5.305	60.7	1.685	31.8	125105125.0	0.425	237.01700000000002	4.879354645447372
Alabama	2016	5.41	60.1	1.685	31.1	163948123.0	0.675	240.00716666666665	4.913936597726596
Alabama	2017	5.452	58.1	1.685	30.9	180386973.0	0.675	245.11958333333334	4.8488006704210695
Alabama	2018	5.55	54.7	1.685	30.4	172649066.0	0.675	251.10683333333336	4.818267921820792
